Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@abihayyyy,1,Great great sir ğŸ‘,2024-01-18T15:48:13Z,0,0,positive
@lifesolutions283,1,Sir ap se kese contact kia jae,2024-01-18T07:08:03Z,0,0,neutral
@user-cl9hn2rm7r,1,Great work keep it up,2024-01-18T02:30:55Z,0,0,positive
@arcollection5965,1,Sir g ma ya freelance  krna chati ho but mujy kuch b ni pta but i want  to learn skill,2024-01-18T00:53:57Z,0,0,neutral
@HusnainHayyat-cw4rd,1,"sir,  i husnain, aap ko faisalabad se aik brilliant student dena  chah rhaa hon?",2024-01-17T06:43:35Z,0,0,positive
@naheedasaeed1246,1,Sir I have started this basic course on youtube ...how can I get excercises...can you help me?,2024-01-15T04:47:18Z,0,0,neutral
@user-di6ux8mm2q,1,AI k lye python sekhni hogi kia ???,2024-01-14T05:01:12Z,0,0,neutral
@dr.faizakhamissa7084,1,Amazing,2024-01-13T20:57:49Z,0,0,positive
@user-yf4vt1zu9k,1,Training<br>Data<br>AI<br>API,2024-01-13T16:42:25Z,0,0,not
@user-yf4vt1zu9k,1,Skill development<br>Problem solving &amp; Critical thinking,2024-01-13T16:27:59Z,0,0,positive
@sufyansufyan2127,1,very informatic v,2024-01-12T18:42:55Z,0,0,positive
@sk-wy6lh,1,This session was really helpful irfan sir. Very nice and we are thankful to you for this ğŸ™ğŸ™ bless uhh,2024-01-09T10:39:00Z,0,0,positive
@mzch9625,1,Cat is most sensitive animal of the world.<br>Thankful to you dear sirs,2024-01-09T04:42:17Z,0,0,positive
@hamaslover1,1,Love from Bangladesh,2024-01-08T19:36:50Z,0,0,positive
@user-vv7ol4gc6w,1,M b practical krna chahti hun sir,2024-01-08T19:18:25Z,0,0,not
@user-po5bb7yb3o,1,Aslamualikum sir ma na  simple M A kia hua ha kia ma A I seekh skta hoon plz guide me or kahan sy seekhu,2024-01-08T18:38:24Z,0,0,neutral
@mradeel2060,1,Thank you for the great lecture,2024-01-07T10:06:59Z,0,0,positive
@Sirajullah-vv4mf,1,Ø¨Ú‘Û’ Ø§ÙØ³ÙˆØ³ Ú©Û’ Ø³Ø§ØªÚ¾ Ú©ÛÙ†Ø§ Ù¾Ú‘ Ø±Ú¾Ø§ Ú¾Û’ Ú©Û Ù…ÛŒÚº Ù†Û’ Ø§Ù¾Ù†Û’ Ø§Ø±Ø¯Ú¯Ø±Ø¯ Ø¬ØªÙ†Û’ Ø¨Ú¾ÛŒ Ù„ÙˆÚ¯ÙˆÚº Ø³Û’ AI Ú©Û’ Ø¨Ø§Ø±Û’ Ù…ÛŒÚº Ù¾ÙˆÚ†Ú¾Ø§ ØªÙˆ 98 Ùª Ù„ÙˆÚ¯ÙˆÚº Ú©Ùˆ AI Ú©Û’ Ø¨Ø§Ø±Û’ Ù…ÛŒÚº Ú©Ú†Ú¾ Ø¨Ú¾ÛŒ Ù¾ØªÛ Ù†ÛÛŒÚº Ø§ÙˆØ± Ù†Û Ú©Ø³ÛŒ Ú©Ùˆ AI Ø³Û’ Ú©ÙˆØ¦ÛŒ ØºØ±Ø¶ Ú¾Û’ Ù¾ØªÛ Ù†ÛÛŒÚº Ú¾Ù… Ø¨Ø§Ù‚ÛŒ Ø¯Ù†ÛŒØ§ Ø³Û’ Ú©ØªÙ†Û’ Ù¾ÛŒÚ†Ú¾Û’ Ú¾ÛŒÚºÛ”,2024-01-07T07:01:14Z,0,0,negative
@mutabarshah3695,1,"I&#39;d like to express my gratitude to Muhammad Irfan and his entire team for this course. I&#39;ve recently begun, and, Inshallah, I plan to see it through to the end &lt;3. I&#39;m setting myself a 40-day challenge, committing to watching one video each day.",2024-01-06T22:13:30Z,1,0,positive
@haseebrandhawa4181,1,How AI is helpful for students?,2024-01-06T12:53:06Z,0,0,positive
@Iqraasif-cw1ft,1,Sir is corse ke foam link shear karin tak mujy b project mil saky or b kam karun,2024-01-06T08:03:24Z,0,0,not
@sajidakhan7498,1,MashaAllahğŸ˜Š what an explanation of AI <br>Great work,2024-01-05T00:09:41Z,0,0,positive
@asiaisnext,1,"Request to all Pakistanis software engineers that, please please learn AI as soon as possible. It will pay you a lot in near future",2024-01-04T18:31:01Z,0,0,positive
@funnyandfun785,1,Answer zaroor dena,2024-01-04T08:03:10Z,0,0,the
@funnyandfun785,1,Keya koi jo bilkul be na janta ho wo ky iss course sy seek sakta hai,2024-01-04T08:02:36Z,0,0,positive
@JunaidHafeez.Hayatwala,1,"Thanks for appreciating us in the lecture <a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=1h16m37s"">1:16:37</a>",2024-01-02T18:13:32Z,0,0,positive
@JunaidHafeez.Hayatwala,1,"Great way of teaching <a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=1h08m09s"">1:08:09</a>",2024-01-02T18:03:09Z,0,0,positive
@ehsankhateezyar,1,ğŸŒ,2024-01-02T14:26:41Z,0,0,the
@mehranbaloch8027,1,Basic problem of ai is ai don&#39;t know many languages,2024-01-02T09:39:33Z,0,0,negative
@IslamicKnowledgeBySR,1,ğŸƒØ§Ù„Ù„Ù‘ÙÙ‡ÙÙ…Ù‘Ù ØµÙÙ„Ù‘Ù Ø¹ÙÙ„ÙÙ‰ Ù…ÙØ­ÙÙ…Ù‘ÙØ¯Ù ÙˆÙØ¹ÙÙ„ÙÙ‰ Ø¢Ù„Ù Ù…ÙØ­ÙÙ…Ù‘ÙØ¯Ù ÙƒÙÙ…ÙØ§ ØµÙÙ„Ù‘ÙÙŠÙ’ØªÙ Ø¹ÙÙ„ÙÙ‰ Ø¥ÙØ¨Ù’Ø±ÙØ§Ù‡ÙÙŠÙ…Ù ÙˆÙØ¹ÙÙ„ÙÙ‰ Ø¢Ù„Ù Ø¥ÙØ¨Ù’Ø±ÙØ§Ù‡ÙÙŠÙ…Ù Ø¥ÙÙ†Ù‘ÙÙƒÙ Ø­ÙÙ…ÙÙŠØ¯ÙŒ Ù…ÙØ¬ÙÙŠØ¯ ØŒ Ø§Ù„Ù„Ù‘ÙÙ‡ÙÙ…Ù‘Ù Ø¨ÙØ§Ø±ÙÙƒÙ’ Ø¹ÙÙ„ÙÙ‰ Ù…ÙØ­ÙÙ…Ù‘ÙØ¯Ù ÙˆÙØ¹ÙÙ„ÙÙ‰ Ø¢Ù„ Ù…ÙØ­ÙÙ…Ù‘ÙØ¯Ù ÙƒÙÙ…ÙØ§ Ø¨ÙØ§Ø±ÙÙƒÙ’ØªÙ Ø¹ÙÙ„ÙÙ‰ Ø¥ÙØ¨Ù’Ø±ÙØ§Ù‡ÙÙŠÙ…Ù ÙˆÙØ¹ÙÙ„ÙÙ‰ Ø¢Ù„Ù Ø¥ÙØ¨Ù’Ø±ÙØ§Ù‡ÙÙŠÙ…Ù Ø¥ÙÙ†Ù‘ÙÙƒÙ Ø­ÙÙ…ÙÙŠØ¯ÙŒ Ù…ÙØ¬ÙÙŠØ¯.,2024-01-02T07:35:45Z,0,0,the
@user-fq9oc8xk8h,1,I think i am following up late but i will follow it till end InshaAllah great effort sir ğŸ‘,2024-01-01T20:33:38Z,0,0,positive
@shahzadshahzadali5915,1,yar bhot sa log ya bat karta ha ka ai ko shako muga ya batio ka ai ma asa kia ha ka is ko hum shaka ya bhi to ek search engin ha informativ to phir is ma hsa kia ha kia koi skill hja,2023-12-30T11:57:15Z,0,0,not
@user-px4if3zq4d,1,An algorithm is a step-by-step procedure or set of rules designed to perform a specific task or solve a particular problem.,2023-12-30T05:00:38Z,0,0,neutral
@user-px4if3zq4d,1,Why Ai make?,2023-12-30T04:46:00Z,0,0,not
@user-px4if3zq4d,1,What&#39;s Ai?,2023-12-30T04:11:35Z,0,0,neutral
@user-px4if3zq4d,1,Assalam u alaikum sir Irfan Malik when Ai make?,2023-12-30T04:11:22Z,0,0,neutral
@user-zi4zx6vn5q,1,will this course help me as an accountant?,2023-12-27T20:51:21Z,0,0,not
@Skilzatrainings,1,Masha Allah guys doing great job...God Bless You!,2023-12-27T13:14:26Z,0,0,positive
@saadsalam,1,Total fraud.,2023-12-27T05:38:32Z,0,0,negative
@abeeramalik1234,1,I highly appreciate you Sir! â¤ <br>May Allah Almighty bless you,2023-12-26T09:12:42Z,0,0,positive
@fatimadanish7987,1,amazing teacher you are it was informative and impressive. started today hope i will complete the course.Irfan Malik u are a star.,2023-12-26T08:39:22Z,0,0,positive
@shahzadhussain4004,1,Which types of the projects can be done by AI.,2023-12-24T17:50:52Z,0,0,neutral
@user-xs8zm5bm2s,1,Very Thanks to Irfan Malik Sb. for such a great work startup here i.e. too much appreciable effort.,2023-12-24T08:34:29Z,0,0,positive
@krind,1,"I appreciate the support in AI education. Dear Irfan and your team have made understandable for someone like me with a law background.<br><br>Understanding different AI branches like classic AI, Neural AI, and general AI has been crucial. Learning about Models have been enlightening, and Iâ€™m eager to explore how these models can enhance innovation and quality in my field.<br><br>Your teamâ€™s dedication has simplified AI for me and opened doors for future applications. Looking forward to more learning and collaboration.<br><br>Excited about the vision of using AI models to improve various fields in the future.<br><br><br>I can foresee the impact on my law practice and my wife, who is in medical field a tech specialist or prompt expert , using AI models in our respective fields.<br><br>Regards,Khalid Rind <br>Sydney",2023-12-24T00:08:40Z,0,0,positive
@user-mn4bx7bu8g,1,@panaverse dao wala course kraey generative ai ka,2023-12-23T23:49:16Z,0,0,not
@hamidamalik86,1,Sr nice job you learn so easy way and examples are so easy,2023-12-23T15:25:28Z,2,0,positive
@hamidamalik86,1,Sr nice job you learn so easy way and examples are so easy,2023-12-23T15:25:14Z,0,0,positive
@accountingmate731,1,"Irfan bhai and DrSb Salute to your sincerity, dedication and love to develop people by inputting your max. This is what our beloved prophet Muhammad peace be upon him Said that the best of human is the one who is beneficial to others May Almighty Allah bestow you more blessings. Aameen",2023-12-23T12:13:03Z,0,0,positive
@user-pz9wn7wt4h,1,Sir how can i apply for AI and any classes and session start anywhere,2023-12-22T10:35:48Z,0,0,neutral
@Benam17,1,"Finished the first lecture, and I must say it&#39;s a must take course for every beginner AI enthusiasts like me. Thank you sir @irfan and @xeven solution for designing and providing this incredible course free of cost. Highly appreciated ğŸ‘",2023-12-21T07:12:45Z,0,0,positive
@invocreatives,1,Lecture -1 completed Amazing ğŸ¤©,2023-12-21T03:05:55Z,0,0,positive
@wasimakramrana55,1,"Sir main new hon thori bohat information hai computer k bary main, main online earning krna chahta hon to kia main ai seekh sakta hon directly ya mjy phely koi skill seekhna chahiy plz guide me",2023-12-20T17:42:36Z,0,0,neutral
@Mrs_syed,1,Today I hv seen u first time. <br>Learnt a lot<br>Thank you,2023-12-19T23:24:52Z,0,0,positive
@IBRAHIMKHAN-hl1co,1,Thanks a lot!,2023-12-19T15:00:41Z,0,0,positive
@AmzToolsConsultant,1,thank you,2023-12-17T22:23:25Z,0,0,positive
@AmzToolsConsultant,1,Conceptual,2023-12-17T22:23:13Z,0,0,not
@Bushrakhan730,1,The spreading of Ai or increase in the tools of Ai day by day reminds me about the hadees of Muhammad SAWW k anqareeb wo waqt ay ga jb fitny tmharay gron main barish k qatron ki trha dakhil honngy..ğŸ˜¢. Next Allah Knows better... But the thing is we should must learn machine so that we can defend if there will be any mishapğŸ˜‚ğŸ˜‚ğŸ˜‚,2023-12-16T16:07:33Z,0,0,negative
@muhammadmoeen6701,1,Good super knowledge provided but my suggestion that avoid both category persons technical n untechnical persons same classes. Seperation class will result faster. Because if we blow both categories same time they will be bore one by one.,2023-12-15T21:57:46Z,0,0,positive
@IqraZulfiqar-qo3fg,1,Thanks,2023-12-14T17:39:50Z,0,0,positive
@KHRizviMedia7262,1,Sir Mjhy Samjh Nahi Arahi Iss Course Ki Kindly guide Me. But Main Samjh raha hnn,2023-12-14T16:04:10Z,0,0,negative
@kpop-universe483,1,I am watching sir Syeed Ahmad Khan ideology...,2023-12-13T07:38:35Z,0,0,neutral
@kpop-universe483,1,I am student of BS chemistry....can i learn this?? <br>Is it for everyone?? Or only for students related to computer sciences...,2023-12-13T07:14:31Z,0,1,neutral
@zuhaibtoor4032,1,Sir Amazing,2023-12-13T06:37:10Z,0,0,positive
@samibatah3653,1,20 mint tak watch kia abe tak kuch sumgh ni aa re koi mugay motivate kr day,2023-12-12T06:56:52Z,0,0,negative
@hidayatshah1586,1,I watch vedio from Abu Dhabi very nice every night,2023-12-10T19:41:29Z,0,0,positive
@user-ox4qr5nn5z,1,sent me assignment .sir,2023-12-10T13:51:28Z,1,0,neutral
@AtiyaSiddiqui-ij1yx,1,Algorithm = the way of working<br>Modal  = like a tool jis ki programing hwe ve ho or usse use krna ho  <br>Am I right sir?,2023-12-10T09:41:34Z,0,0,neutral
@BrainFlexChallenges,1,Beth k pani pina sunat hai.,2023-12-07T15:59:39Z,0,0,not
@adityajat226,1,Sir i am a student of ai and ml private college btech first year  can i see your lecture its helpful for me or not,2023-12-04T12:25:40Z,0,0,neutral
@ahsanraza3657,1,Thank you sir  ge information,2023-12-04T12:01:45Z,0,0,positive
@nasreenakhtar9113,1,impressive .thank you so much sir,2023-12-03T19:42:20Z,0,0,positive
@BilalKhan-ck6bi,1,sir please share these slides .....,2023-12-03T18:58:31Z,0,0,neutral
@zubairaliaqat6805,1,physical class ka criteria kha ha aur ya next fourth month batch kub start ho ka,2023-12-03T16:20:00Z,0,0,not
@mumtazhayat7134,1,"&quot;A big salute to Irfan Malik! Your dedication to uplifting the community through education is truly admirable. Your commitment to sharing knowledge selflessly serves as a beacon of inspiration. Your teaching skills (especially story building), combined with a generous heart, make you a lighthouse guiding many toward success. In a landscape where some prioritize profits over education, your altruistic approach is a refreshing example. Keep illuminating the path of learning for others. Thank you for being a driving force for change!&quot; in the last again a lot of appreciation for you and your team and a lot of prayers.",2023-12-03T07:27:44Z,7,0,positive
@doublenews2068,1,Dr ko lecture dena nahi aata bechare ko,2023-12-03T04:54:20Z,0,0,negative
@fozeahmad5439,1,I cant learn anything that so unstructured and tangential,2023-12-03T03:40:36Z,0,0,negative
@azamsufyan431,1,Hello muj lata pata chl h. ap email kasy snd kro.plesse guide,2023-12-01T19:21:45Z,0,0,neutral
@haseeb1717,1,Plz inhouse training ke liye  aik clear criteria rakhain apny channel ko chlany ke liye sari dunya ko apny peechay mat lagain aur bachon ka time waste na karain .,2023-12-01T13:55:08Z,0,0,negative
@drkbsdiary5257,1,LISTENED IT FOR 2ND TIME REVISON HEHHEHEHE,2023-11-30T09:29:15Z,0,0,positive
@drkbsdiary5257,1,MAZA AGYA,2023-11-30T09:28:59Z,0,0,the
@umarfarooq8691,1,Thank u so much,2023-11-29T14:10:47Z,0,0,positive
@bigofficial649,1,Thank your very good explanation,2023-11-26T02:34:35Z,0,0,positive
@mishi-ch,1,sir you said about API and we say that API worked as a third party?<br>means that we take information about any model and dilever to other in this way we are the raw matreril?can you tell me more about API?,2023-11-25T12:11:00Z,0,0,neutral
@muhammaddanialtanoli,1,Wonderful explanation of technical concepts thank you so much Sir for these lectures â¤,2023-11-24T15:31:19Z,0,0,positive
@MuhammadJunaid-ri5kd,1,"Sir I watched all lecture 1 , your way of delivering lecture is superb, but doctor shb use difficult language, which is difficult to understand, please Dr shb use easy wording for non technical person, once again thanks  Irfan malik of delivering lecture with example which is easy for understanding the computer language terms,",2023-11-24T06:15:03Z,1,0,negative
@mianzeeshanjaved3156,1,"Ma shah Allah Sir, great job. may Allah happy and more success in your life.Ameen.",2023-11-21T19:44:30Z,1,0,positive
@Orekimv1,1,very nice,2023-11-21T05:52:43Z,0,0,positive
@tajzaman4292,1,Really Appreciate your work. May Allah bless you both and reward you for it Ameen,2023-11-21T05:11:03Z,1,0,positive
@mohammedahmad6196,1,"<a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=56m10s"">56:10</a>",2023-11-20T09:48:47Z,0,0,not
@khawajaabdullah1768,1,Ye AI course students b kr sakty hena<br>..mtlb jo abhi parh ry hon...BS computer science 1st semster,2023-11-16T16:03:03Z,0,1,not
@Muqadas-ix9bz,1,Thanks sir,2023-11-16T11:48:14Z,0,0,positive
@Muqadas-ix9bz,1,What is proms,2023-11-16T10:59:21Z,0,1,neutral
@Muqadas-ix9bz,1,"New Lewles ai k Pas nh wo hum apny dy KR es ko mazet Acha KR skty <a href=""http://hin.jo/"">hin.jo</a> hamry adia hun gy",2023-11-16T07:32:37Z,0,0,not
@Muqadas-ix9bz,1,"New Lewles ai k Pas nh wo hum apny dy KR es ko mazet Acha KR skty <a href=""http://hin.jo/"">hin.jo</a> hamry adia hun gy",2023-11-16T07:32:05Z,0,0,not
@Muqadas-ix9bz,1,Sir g Dil BHT hush  hy. jeny ki umet mel gi.,2023-11-16T07:25:04Z,1,0,the
@Muqadas-ix9bz,1,Sir bht Acha lg ra hy .kash min ap k pas byht KR class ly skty.very nice.zabardast.,2023-11-16T07:13:55Z,1,0,positive
@Muqadas-ix9bz,1,Turi turi beis samj ai,2023-11-16T07:01:33Z,1,0,not
@Muqadas-ix9bz,1,Sir g agr min Leachers half chur dati hun Tu dubara kesy wahin sy  satat lun gi.please help me?,2023-11-16T06:56:54Z,0,0,negative
@Muqadas-ix9bz,1,Sir ap ny mujy step by step guide kr na hy. Mujy nh pat kesy kr na hy.,2023-11-16T06:51:46Z,0,0,negative
@LearnDigitalMarketing1855,1,I shall be very thankful to you if you kindly help them in learning.,2023-11-16T06:44:19Z,0,0,positive
