Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
174-23,45,PhC2H16_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8C=CC(C#CC9C=CC(C#CC%10C=CC(C#CC%11C=CC(C#CC%12C=CC(C#CC%13C=CC(C#CC%14C=CC(C#CC%15C=CC(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.481,-2.721,-4.101,2.76,1630.74,128,22.13,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-25,46,PhC2H32_T,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.663,-2.012,-3.8375,3.651,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-26,47,PhC2H34_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.273,-2.409,-3.841,2.864,414.23,32,8.33,False,True,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-27,48,PhC2H38_T,C=CC1=CC=C(/C=C/[C@H]2C=C[C@H](/C=C/[C@H]3C=C[C@H](/C=C/[C@H]4C=C[C@H](/C=C/[C@H]5C=C[C@H](/C=C/[C@H]6C=C[C@H](/C=C/[C@H]7C=C[C@@H](/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.101,-2.59,-3.8455,2.511,830.49,64,15.99,False,True,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-28,49,PhC2H316_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4C=CC(/C=C/C5C=CC(/C=C/C6C=CC(/C=C/C7C=CC(/C=C/C8C=CC(/C=C/C9C=CC(/C=C/C%10C=CC(/C=C/C%11C=CC(/C=C/C%12C=CC(/C=C/C%13C=CC(/C=C/C%14C=CC(/C=C/C%15C=CC(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.042,-2.655,-3.8485,2.387,1662.99,128,31.3,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-29,50,PhC2H32_C,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.665,-1.989,-3.827,3.676,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-30,51,PhC2H34_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.277,-2.383,-3.83,2.894,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-31,52,PhC2H38_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.106,-2.564,-3.835,2.542,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-32,53,PhC2H316_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.046,-2.63,-3.838,2.4160000000000004,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
277-01,54,VC_01_Gas,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-6.495,-0.908,-3.7015,5.587,176.03,12,-1.41,False,False,2,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False
277-02,55,TEA_01_Gas,CCN(CC)CC,-5.893,0.986,-2.4535,6.879,101.12,7,1.35,True,False,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
277-03,56,TEOA_01_Gas,OCCN(CCO)CCO,-6.088,0.524,-2.782,6.612,149.11,10,-1.73,True,False,0,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False
277-04,57,BIH_01_Gas,CN1C2=CC=CC=C2N(C)C1C1=CC=CC=C1,-4.773,-0.856,-2.8145,3.917,224.13,17,3.27,False,True,6,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
277-05,58,H2SO3_01_Gas,O=S(O)O,-8.344,-0.353,-4.3485,7.991,81.97,4,-0.32,False,False,1,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
312-03,59,Hexatriene,C=C/C=C/C=C,-6.045,-1.634,-3.8395,4.411,80.06,6,1.91,False,False,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-07,60,VinylAcetylene,C#CC=C,-6.958,-1.242,-4.1,5.716,52.03,4,0.81,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-10,61,Styrene,C=CC1=CC=CC=C1,-6.36,-1.31,-3.835,5.050000000000001,104.06,8,2.33,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-11,62,Divinylbenzene,C=CC1=CC=C(C=C)C=C1,-6.025,-1.749,-3.887000000000001,4.276,130.08,10,2.97,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-12,63,DiphenylEthylene,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,-5.812,-1.771,-3.7915,4.041,180.09,14,3.86,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-14,64,DiEthynylbenzene,C#CC1=CC=C(C#C)C=C1,-6.495,-1.825,-4.16,4.67,126.05,10,1.65,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-14,65,Ethynylbenzene_0,C(#CC1=CC=CC=C1)C1=CC=CC=C1,-6.016,-1.654,-3.835,4.362,178.08,14,3.09,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-15,66,Ethynylbenzene_90,C(#CC1=CC=CC=C1)C1=CC=CC=C1,-6.479,-1.124,-3.8015,5.355,178.08,14,3.09,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-16,67,Biphenyl,C1=CC=C(C2=CC=CC=C2)C=C1,-6.353,-1.12,-3.7365,5.233,154.08,12,3.35,False,True,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-17,68,Terphenyl_Cis,C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1,-6.051,-1.423,-3.737,4.628,230.11,18,5.02,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-18,69,Terphenyl_Trans,C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1,-6.063,-1.433,-3.748,4.63,230.11,18,5.02,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-19,70,QuarterPhenyl_Cis,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.899,-1.577,-3.738,4.322,306.14,24,6.69,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-24,71,Anthracene,C1=CC2=C(C=C1)C=C1C=CC=CC1=C2,-5.539,-2.003,-3.771,3.536,178.08,14,3.99,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-25,72,Phenanthrene,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,-6.05,-1.376,-3.713,4.674,178.08,14,3.99,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-27,73,Tetraphene,C1=CC=C2C=C3C(=CC2=C1)C=CC1=C3C=CC=C1,-5.63,-1.921,-3.7755,3.709,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-28,74,Pyrene,C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2,-5.635,-1.829,-3.732,3.806,202.08,16,4.58,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-29,75,Triphenylene,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=CC=CC=C21,-6.159,-1.322,-3.7405,4.837,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-31,76,Tetrahelicene,C1=CC2=C(C=C1)C1=C3C=CC=CC3=CC=C1C=C2,-5.844,-1.691,-3.7675,4.1530000000000005,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-32,77,Pentacene,C1=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2C=C1,-4.899,-2.732,-3.8155,2.167,280.13,22,3.93,False,True,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-33,78,Hexacene,C1=C2C=CC=CC2=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC12,-4.707,-2.952,-3.8295,1.755,330.14,26,3.07,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-34,79,Coronene,C1=CC2=CC=C3C=CC4=C5C3=C2C2=C3C(=CC=C12)C=CC(=C35)C=C4,-5.741,-1.751,-3.746,3.99,300.09,24,6.92,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-35,80,Toluene,CC1=CC=CC=C1,-6.715,-0.384,-3.5495,6.331,92.06,7,2.0,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-36,81,oX,CC1=C(C)C=CC=C1,-6.539,-0.228,-3.3835,6.311,106.08,8,2.3,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-37,82,pX,CC1=CC=C(C)C=C1,-6.424,-0.352,-3.3880000000000003,6.072,106.08,8,2.3,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-38,83,iPrPh,CC(C)C1=CC=CC=C1,-6.717,-0.371,-3.544,6.346,120.09,9,2.81,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-39,84,pDiiPrPh,CC(C)C1=CC=C(C(C)C)C=C1,-6.436,-0.334,-3.385,6.102,162.14,12,3.93,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-40,85,BnOMe,COCC1=CC=CC=C1,-6.724,-0.376,-3.5500000000000003,6.348,122.07,9,1.83,False,True,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
312-41,86,pDiCH2OMe,COCC1=CC=C(COC)C=C1,-6.485,-0.336,-3.4105000000000003,6.149,166.1,12,1.98,False,True,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
312-42,87,CF3Ph,FC(F)(F)C1=CC=CC=C1,-7.599,-1.224,-4.4115,6.375,146.03,10,2.71,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-43,88,pDiCF3,FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-8.107,-1.924,-5.015499999999999,6.183,214.02,14,3.72,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-44,89,BnCl,ClCC1=CC=CC=C1,-7.135,-1.101,-4.118,6.034,126.02,8,2.43,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-45,90,pDiCH2Cl,ClCC1=CC=C(CCl)C=C1,-7.203,-1.556,-4.3795,5.647,174.0,10,3.16,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-46,91,CCl3,ClC(Cl)(Cl)C1=CC=CC=C1,-7.414,-1.532,-4.473,5.882,193.95,10,3.51,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-47,92,pDiCCl3,ClC(Cl)(Cl)C1=CC=C(C(Cl)(Cl)Cl)C=C1,-7.676,-2.186,-4.931,5.49,309.84,14,5.34,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-48,93,PhF,FC1=CC=CC=C1,-6.993,-0.755,-3.874,6.238,96.04,7,1.83,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-49,94,oF2,FC1=C(F)C=CC=C1,-7.11,-0.894,-4.002,6.216,114.03,8,1.96,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-50,95,pF2,FC1=CC=C(F)C=C1,-6.958,-1.09,-4.024,5.868,114.03,8,1.96,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-51,96,SymF3,FC1=CC(F)=CC(F)=C1,-7.483,-0.879,-4.181,6.603999999999999,132.02,9,2.1,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-52,97,pF4,FC1=C(F)C=C(F)C(F)=C1,-7.225,-1.369,-4.297,5.856,150.01,10,2.24,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-53,98,PhCl,ClC1=CC=CC=C1,-6.941,-0.804,-3.8725,6.137,112.01,7,2.34,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-54,99,oCl2,ClC1=C(Cl)C=CC=C1,-7.026,-1.065,-4.0455,5.961,145.97,8,2.99,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-55,100,pCl2,ClC1=CC=C(Cl)C=C1,-6.905,-1.152,-4.0285,5.753,145.97,8,2.99,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
